Date,Open,High,Low,Adj Close,Volume,Stock Name
02-12-2019,469.600006,469.600006,455.350006,460.258728,2492362,CIPLA
03-12-2019,465,465.850006,460,460.506714,1067139,CIPLA
04-12-2019,463,471.850006,462,466.210327,1426757,CIPLA
05-12-2019,469.5,470.299988,460.399994,457.878052,1483537,CIPLA
06-12-2019,463,467,454,451.777679,2520045,CIPLA
09-12-2019,457.399994,457.75,444.600006,444.288513,3761784,CIPLA
10-12-2019,450.600006,454.950012,449.5,449.396973,2807906,CIPLA
11-12-2019,453,453.100006,446.700012,446.322021,1806996,CIPLA
12-12-2019,452.200012,463.100006,452.200012,457.332489,2730092,CIPLA
13-12-2019,461.049988,465,456.600006,457.530884,1213599,CIPLA
16-12-2019,463.049988,464.75,457.5,454.555084,903737,CIPLA
17-12-2019,462.049988,466.200012,460.350006,460.209137,2434853,CIPLA
18-12-2019,464,469.25,461.5,464.028076,1705929,CIPLA
19-12-2019,465.649994,471.5,464.799988,463.829712,1485123,CIPLA
20-12-2019,466.899994,474.450012,463.899994,461.994598,2248997,CIPLA
23-12-2019,467,469,464.5,464.077698,866023,CIPLA
24-12-2019,467.25,480,465.5,474.84021,3262749,CIPLA
26-12-2019,478.700012,482.549988,472.25,470.326874,2887784,CIPLA
27-12-2019,474.549988,483.5,472.799988,477.220825,2005404,CIPLA
30-12-2019,481.100006,487,478.25,476.080109,1809828,CIPLA
31-12-2019,479.950012,484.299988,476.950012,474.344238,1640854,CIPLA
01-01-2020,481,481,474.450012,472.062744,1316812,CIPLA
02-01-2020,478.850006,479.899994,472.299988,469.682129,1406381,CIPLA
03-01-2020,475.799988,475.799988,467.25,466.160767,2252752,CIPLA
06-01-2020,469.799988,469.950012,461.200012,462.986542,1501855,CIPLA
07-01-2020,466,470,463.649994,464.821655,2365554,CIPLA
08-01-2020,467.799988,470.100006,461.600006,461.002686,1507276,CIPLA
09-01-2020,467.5,473.299988,467.5,466.30954,1700600,CIPLA
10-01-2020,470.100006,477,469.75,469.682129,1213600,CIPLA
13-01-2020,474.5,482.450012,474.5,473.798645,1229969,CIPLA
